Date,Currency,Rate,Scrape time
30-10-2025,USD,130.1183,2025-10-30
30-10-2025,EUR,151.1194,2025-10-30
30-10-2025,GBP,171.6714,2025-10-30
30-10-2025,JPY,84.7981,2025-10-30
30-10-2025,CNY,18.3066,2025-10-30
30-10-2025,CHF,162.8617,2025-10-30
30-10-2025,CAD,93.3183,2025-10-30
30-10-2025,DKK,20.2357,2025-10-30
30-10-2025,SEK,13.8362,2025-10-30
30-10-2025,NOK,12.9828,2025-10-30
30-10-2025,AED,35.4252,2025-10-30
30-10-2025,SAR,34.6955,2025-10-30
30-10-2025,KWD,424.5989,2025-10-30
30-10-2025,TND,44.3009,2025-10-30
30-10-2025,MAD,14.0999,2025-10-30
30-10-2025,LYD,23.9256,2025-10-30
30-10-2025,MRU,3.2636,2025-10-30
30-10-2025,SDR,177.3999,2025-10-30
