currencies,Buy,Sell,Scrape_time
US Dollar,47.1714,47.2703,2025-10-30
Euro,54.7189,54.8477,2025-10-30
Pound Sterling,62.1531,62.2928,2025-10-30
Swiss Franc,58.9127,59.0731,2025-10-30
Japanese Yen 100,30.6228,30.689,2025-10-30
Saudi Riyal,12.5777,12.6047,2025-10-30
Kuwaiti Dinar,153.8784,154.2512,2025-10-30
UAE Dirham,12.8424,12.87,2025-10-30
Chinese yuan,6.6322,6.6467,2025-10-30
US Dollar,47.1714,47.2703,2025-10-31
Euro,54.7189,54.8477,2025-10-31
Pound Sterling,62.1531,62.2928,2025-10-31
Swiss Franc,58.9127,59.0731,2025-10-31
Japanese Yen 100,30.6228,30.6890,2025-10-31
Saudi Riyal,12.5777,12.6047,2025-10-31
Kuwaiti Dinar,153.8784,154.2512,2025-10-31
UAE Dirham,12.8424,12.8700,2025-10-31
Chinese yuan,6.6322,6.6467,2025-10-31
