buying,selling,avg,scrape_time,Pair,date
500.5631,505.5687,503.0659,2025-10-30,KWDBIRR,2025-10-30
21.6293,21.8456,21.7375,2025-10-30,CNYBIRR,2025-10-30
8.9747,9.0645,9.0196,2025-10-30,ZARBIRR,2025-10-30
209.602,211.698,210.65,2025-10-30,XDRBIRR,2025-10-30
178.7506,180.5381,179.6444,2025-10-30,EURBIRR,2025-10-30
1.0088,1.0189,1.0139,2025-10-30,JPYBIRR,2025-10-30
41.8071,42.2252,42.0162,2025-10-30,AEDBIRR,2025-10-30
40.9476,41.3571,41.1524,2025-10-30,SARBIRR,2025-10-30
101.2613,102.2739,101.7676,2025-10-30,AUDBIRR,2025-10-30
110.1541,111.2556,110.7049,2025-10-30,CADBIRR,2025-10-30
153.5658,155.1015,153.5658,2025-10-30,USDBIRR,2025-10-30
1.1868,1.2224,1.2046,2025-10-30,KESBIRR,2025-10-30
1.7408,1.7582,1.7495,2025-10-30,INRBIRR,2025-10-30
0.8601,0.8859,0.873,2025-10-30,DJFBIRR,2025-10-30
23.9337,24.173,24.0534,2025-10-30,DKKBIRR,2025-10-30
15.3607,15.5143,15.4375,2025-10-30,NOKBIRR,2025-10-30
16.4006,16.5647,16.4827,2025-10-30,SEKBIRR,2025-10-30
192.559,194.4846,193.5218,2025-10-30,CHFBIRR,2025-10-30
203.0293,205.0596,204.0445,2025-10-30,GBPBIRR,2025-10-30
