id,currency,ratedate,buyingrate,centralrate,sellingrate,scrape_date
59618,YUAN/RENMINBI,2025-08-28,215.7282,215.7985,215.8688,2025-09-29
59632,EURO,2025-08-29,1788.0122,1788.5963,1789.1804,2025-09-29
59633,YEN,2025-08-29,10.4113,10.4147,10.4181,2025-09-29
59634,RIYAL,2025-08-29,407.9019,408.0352,408.1684,2025-09-29
59638,POUNDS STERLING,2025-08-29,2062.9027,2063.5766,2064.2505,2025-09-29
59640,US DOLLAR,2025-08-29,1530.5703,1531.0703,1531.5703,2025-09-29
59630,YUAN/RENMINBI,2025-08-29,214.6361,214.7063,214.7764,2025-09-30
59644,EURO,2025-09-01,1786.0376,1786.6231,1787.2087,2025-09-30
59645,YEN,2025-09-01,10.36,10.3634,10.3668,2025-09-30
59646,RIYAL,2025-09-01,406.3991,406.5324,406.6656,2025-09-30
59650,POUNDS STERLING,2025-09-01,2064.9773,2065.6543,2066.3313,2025-09-30
59651,US DOLLAR,2025-09-01,1525.094,1525.594,1526.094,2025-09-30
59642,YUAN/RENMINBI,2025-09-01,213.7064,213.7764,213.8465,2025-10-02
59656,EURO,2025-09-02,1775.0133,1775.5952,1776.1772,2025-10-02
59657,YEN,2025-09-02,10.2614,10.2648,10.2682,2025-10-02
59658,RIYAL,2025-09-02,406.4325,406.5657,406.699,2025-10-02
59662,POUNDS STERLING,2025-09-02,2038.6955,2039.3639,2040.0323,2025-10-02
59663,US DOLLAR,2025-09-02,1525.0565,1525.5565,1526.0565,2025-10-02
59654,YUAN/RENMINBI,2025-09-02,213.3394,213.4093,213.4793,2025-10-03
59668,EURO,2025-09-03,1773.4609,1774.0441,1774.6273,2025-10-03
59669,YEN,2025-09-03,10.2464,10.2497,10.2531,2025-10-03
59670,RIYAL,2025-09-03,405.2066,405.3399,405.4731,2025-10-03
59674,POUNDS STERLING,2025-09-03,2041.9736,2042.6451,2043.3166,2025-10-03
59676,US DOLLAR,2025-09-03,1520.4569,1520.9569,1521.4569,2025-10-03
59666,YUAN/RENMINBI,2025-09-03,212.7942,212.8641,212.9341,2025-10-06
59680,EURO,2025-09-04,1763.0469,1763.6319,1764.2142,2025-10-06
59681,YEN,2025-09-04,10.2019,10.2053,10.2087,2025-10-06
59682,RIYAL,2025-09-04,403.4397,403.5729,403.7062,2025-10-06
59686,POUNDS STERLING,2025-09-04,2035.0915,2035.7637,2036.4358,2025-10-06
59687,US DOLLAR,2025-09-04,1513.8671,1514.3671,1514.8671,2025-10-06
59678,YUAN/RENMINBI,2025-09-04,211.9876,212.0576,212.1276,2025-10-07
59695,RIYAL,2025-09-08,401.3549,401.4881,401.6214,2025-10-07
59696,YEN,2025-09-08,10.1994,10.2028,10.2062,2025-10-07
59697,EURO,2025-09-08,1769.5165,1770.104,1770.6916,2025-10-07
59699,YUAN/RENMINBI,2025-09-08,211.1953,211.2654,211.3355,2025-10-07
59690,US DOLLAR,2025-09-08,1505.8433,1506.3433,1506.8433,2025-10-08
59691,POUNDS STERLING,2025-09-08,2040.2671,2040.9445,2041.622,2025-10-08
59704,EURO,2025-09-09,1764.5617,1765.1479,1765.7341,2025-10-08
59706,RIYAL,2025-09-09,401.0565,401.1898,401.323,2025-10-08
59710,POUNDS STERLING,2025-09-09,2037.2831,2037.9599,2038.6367,2025-10-08
59711,US DOLLAR,2025-09-09,1505.085,1505.585,1506.085,2025-10-08
59702,YUAN/RENMINBI,2025-09-09,211.326,211.3962,211.4664,2025-10-09
59716,EURO,2025-09-10,1758.2006,1758.7867,1759.3728,2025-10-09
59717,YEN,2025-09-10,10.1758,10.1792,10.1826,2025-10-09
59718,RIYAL,2025-09-10,399.7855,399.9188,400.052,2025-10-09
59722,POUNDS STERLING,2025-09-10,2033.435,2034.1129,2034.7907,2025-10-09
59723,US DOLLAR,2025-09-10,1499.9152,1500.4152,1500.9152,2025-10-09
59714,YUAN/RENMINBI,2025-09-10,210.609,210.6792,210.7494,2025-10-10
59728,EURO,2025-09-11,1753.9216,1754.5058,1755.09,2025-10-10
59729,YEN,2025-09-11,10.1435,10.1468,10.1502,2025-10-10
59730,RIYAL,2025-09-11,400.1096,400.2428,400.3761,2025-10-10
59734,POUNDS STERLING,2025-09-11,2028.3283,2029.0039,2029.6795,2025-10-10
59735,US DOLLAR,2025-09-11,1501.1311,1501.6311,1502.1311,2025-10-10
59726,YUAN/RENMINBI,2025-09-11,210.691,210.7612,210.8313,2025-10-13
59740,EURO,2025-09-12,1753.1831,1753.7673,1754.3515,2025-10-13
59741,YEN,2025-09-12,10.1632,10.1666,10.17,2025-10-13
59742,RIYAL,2025-09-12,399.9411,400.0744,400.2077,2025-10-13
59746,POUNDS STERLING,2025-09-12,2027.4744,2028.15,2028.8256,2025-10-13
59747,US DOLLAR,2025-09-12,1500.4991,1500.9991,1501.4991,2025-10-13
59738,YUAN/RENMINBI,2025-09-12,210.6466,210.7168,210.787,2025-10-14
59752,EURO,2025-09-15,1760.2924,1760.8805,1761.4687,2025-10-14
59753,YEN,2025-09-15,10.1586,10.162,10.1654,2025-10-14
59754,RIYAL,2025-09-15,398.9404,399.0737,399.207,2025-10-14
59758,POUNDS STERLING,2025-09-15,2036.6895,2037.37,2038.0505,2025-10-14
59759,US DOLLAR,2025-09-15,1496.4655,1496.9655,1497.4655,2025-10-14
59750,YUAN/RENMINBI,2025-09-15,210.16,210.2302,210.3005,2025-10-15
59764,EURO,2025-09-16,1753.3675,1753.9586,1754.5497,2025-10-15
59765,YEN,2025-09-16,10.0969,10.1003,10.1037,2025-10-15
59766,RIYAL,2025-09-16,395.409,395.5423,395.6756,2025-10-15
59770,POUNDS STERLING,2025-09-16,2025.5236,2026.2065,2026.8893,2025-10-15
59771,US DOLLAR,2025-09-16,1483.1395,1483.6395,1484.1395,2025-10-15
59762,YUAN/RENMINBI,2025-09-16,208.432,208.5023,208.5725,2025-10-16
59776,EURO,2025-09-17,1769.6678,1770.2605,1770.8531,2025-10-16
59778,YEN,2025-09-17,10.2031,10.2065,10.2099,2025-10-16
59782,POUNDS STERLING,2025-09-17,2040.0524,2040.7356,2041.4188,2025-10-16
59783,US DOLLAR,2025-09-17,1493.0126,1493.5126,1494.0126,2025-10-16
59774,YUAN/RENMINBI,2025-09-17,210.168,210.2384,210.3088,2025-10-17
59788,EURO,2025-09-18,1765.3651,1765.9543,1766.5436,2025-10-17
59789,YEN,2025-09-18,10.1235,10.1269,10.1303,2025-10-17
59790,RIYAL,2025-09-18,399.4071,399.5404,399.6737,2025-10-17
59794,POUNDS STERLING,2025-09-18,2034.7012,2035.3804,2036.0595,2025-10-17
59795,US DOLLAR,2025-09-18,1497.9763,1498.4763,1498.9763,2025-10-17
59786,YUAN/RENMINBI,2025-09-18,210.754,210.8244,210.8947,2025-10-20
59800,EURO,2025-09-19,1746.8057,1747.3931,1747.9805,2025-10-20
59801,YEN,2025-09-19,10.0439,10.0473,10.0506,2025-10-20
59802,RIYAL,2025-09-19,396.4528,396.5861,396.7194,2025-10-20
59806,POUNDS STERLING,2025-09-19,2004.9308,2005.605,2006.2792,2025-10-20
59807,US DOLLAR,2025-09-19,1486.8962,1487.3962,1487.8962,2025-10-20
59798,YUAN/RENMINBI,2025-09-19,208.8953,208.9656,209.0358,2025-10-21
59810,YUAN/RENMINBI,2025-09-22,209.1473,209.2176,209.2879,2025-10-21
59812,EURO,2025-09-22,1752.9898,1753.579,1754.1682,2025-10-21
59813,YEN,2025-09-22,10.067,10.0704,10.0738,2025-10-21
59814,RIYAL,2025-09-22,396.6303,396.7636,396.8969,2025-10-21
59818,POUNDS STERLING,2025-09-22,2009.7499,2010.4254,2011.1009,2025-10-21
59819,US DOLLAR,2025-09-22,1487.6017,1488.1017,1488.6017,2025-10-21
59824,EURO,2025-09-23,1753.1676,1753.7574,1754.3471,2025-10-22
59825,YEN,2025-09-23,10.0593,10.0627,10.0661,2025-10-22
59826,RIYAL,2025-09-23,396.2689,396.4022,396.5355,2025-10-22
59830,POUNDS STERLING,2025-09-23,2010.0115,2010.6877,2011.3638,2025-10-22
59831,US DOLLAR,2025-09-23,1486.3651,1486.8651,1487.3651,2025-10-22
59822,YUAN/RENMINBI,2025-09-23,209.0204,209.0907,209.161,2025-10-23
59834,YUAN/RENMINBI,2025-09-24,208.6492,208.7193,208.7894,2025-10-23
59836,EURO,2025-09-24,1746.1029,1746.6898,1747.2767,2025-10-23
59837,YEN,2025-09-24,10.0038,10.0072,10.0105,2025-10-23
59838,RIYAL,2025-09-24,396.5675,396.7008,396.834,2025-10-23
59842,POUNDS STERLING,2025-09-24,1999.7326,2000.4047,2001.0769,2025-10-23
59843,US DOLLAR,2025-09-24,1487.5642,1488.0642,1488.5642,2025-10-23
59846,YUAN/RENMINBI,2025-09-25,208.5945,208.6646,208.7347,2025-10-24
59848,EURO,2025-09-25,1740.1214,1740.7064,1741.2914,2025-10-24
59849,YEN,2025-09-25,9.9689,9.9722,9.9756,2025-10-24
59850,RIYAL,2025-09-25,396.5281,396.6614,396.7947,2025-10-24
59853,POUNDS STERLING,2025-09-25,1991.5869,1992.2565,1992.926,2025-10-24
59854,US DOLLAR,2025-09-25,1487.2578,1487.7578,1488.2578,2025-10-24
59861,RIYAL,2025-09-26,394.5121,394.6454,394.7787,2025-10-27
59865,POUNDS STERLING,2025-09-26,1979.929,1980.5981,1981.2671,2025-10-27
59866,US DOLLAR,2025-09-26,1479.657,1480.157,1480.657,2025-10-27
59857,YUAN/RENMINBI,2025-09-26,207.3452,207.4153,207.4854,2025-10-28
59859,EURO,2025-09-26,1728.2394,1728.8234,1729.4074,2025-10-28
59860,YEN,2025-09-26,9.8835,9.8868,9.8902,2025-10-28
59869,YUAN/RENMINBI,2025-09-29,207.2263,207.2965,207.3668,2025-10-28
59871,EURO,2025-09-29,1732.5008,1733.088,1733.6751,2025-10-28
59872,YEN,2025-09-29,9.9203,9.9237,9.927,2025-10-28
59873,RIYAL,2025-09-29,393.3736,393.5069,393.6402,2025-10-28
59877,POUNDS STERLING,2025-09-29,1984.0476,1984.72,1985.3924,2025-10-28
59878,US DOLLAR,2025-09-29,1475.3477,1475.8477,1476.3477,2025-10-28
59881,YUAN/RENMINBI,2025-09-30,207.0683,207.1386,207.2088,2025-10-29
59883,EURO,2025-09-30,1728.3773,1728.9635,1729.5496,2025-10-29
59884,YEN,2025-09-30,9.9591,9.9625,9.9659,2025-10-29
59885,RIYAL,2025-09-30,393.1278,393.2612,393.3945,2025-10-29
59889,POUNDS STERLING,2025-09-30,1978.5741,1979.2451,1979.9161,2025-10-29
59890,US DOLLAR,2025-09-30,1474.3473,1474.8473,1475.3473,2025-10-29
59893,YUAN/RENMINBI,2025-10-02,204.2439,204.3142,204.3844,2025-10-30
59895,EURO,2025-10-02,1705.8204,1706.4069,1706.9934,2025-10-30
59896,YEN,2025-10-02,9.88,9.8834,9.8868,2025-10-30
59897,RIYAL,2025-10-02,387.7553,387.8886,388.0219,2025-10-30
59901,POUNDS STERLING,2025-10-02,1955.0766,1955.7488,1956.421,2025-10-30
59902,US DOLLAR,2025-10-02,1454.2373,1454.7373,1455.2373,2025-10-30
59905,YUAN/RENMINBI,2025-10-03,205.7103,205.7805,205.8507,2025-10-31
59908,EURO,2025-10-03,1719.678,1720.265,1720.8521,2025-10-31
59909,YEN,2025-10-03,9.9449,9.9482,9.9516,2025-10-31
59910,RIYAL,2025-10-03,390.5286,390.6619,390.7953,2025-10-31
59914,POUNDS STERLING,2025-10-03,1971.1631,1971.836,1972.5089,2025-10-31
59915,US DOLLAR,2025-10-03,1464.6776,1465.1776,1465.6776,2025-10-31
59920,EURO,2025-10-06,1717.1258,1717.7101,1718.2945,2025-11-03
59921,YEN,2025-10-06,9.7931,9.7965,9.7998,2025-11-03
59922,RIYAL,2025-10-06,391.709,391.8423,391.9756,2025-11-03
59923,YUAN/RENMINBI,2025-10-06,85.1593,85.1883,85.2172,2025-11-03
59926,POUNDS STERLING,2025-10-06,1975.5689,1976.2412,1976.9135,2025-11-03
59927,US DOLLAR,2025-10-06,1469.2614,1469.7614,1470.2614,2025-11-03
59930,YUAN/RENMINBI,2025-10-07,206.4703,206.5405,206.6107,2025-11-04
59932,EURO,2025-10-07,1715.3001,1715.8835,1716.4669,2025-11-04
59933,YEN,2025-10-07,9.7447,9.748,9.7514,2025-11-04
59934,RIYAL,2025-10-07,391.8984,392.0317,392.165,2025-11-04
59938,POUNDS STERLING,2025-10-07,1973.3007,1973.9719,1974.643,2025-11-04
59939,US DOLLAR,2025-10-07,1470.0892,1470.5892,1471.0892,2025-11-04
59942,YUAN/RENMINBI,2025-10-08,206.4044,206.4747,206.5449,2025-11-05
59944,EURO,2025-10-08,1710.344,1710.9259,1711.5078,2025-11-05
59945,YEN,2025-10-08,9.6375,9.6408,9.644,2025-11-05
59946,RIYAL,2025-10-08,391.7734,391.9066,392.0399,2025-11-05
59950,POUNDS STERLING,2025-10-08,1973.8469,1974.5184,1975.19,2025-11-05
59951,US DOLLAR,2025-10-08,1469.6202,1470.1202,1470.6202,2025-11-05
59954,YUAN/RENMINBI,2025-10-09,205.7518,205.822,205.8922,2025-11-06
59956,EURO,2025-10-09,1701.0364,1701.6167,1702.197,2025-11-06
59957,YEN,2025-10-09,9.5895,9.5927,9.596,2025-11-06
59958,RIYAL,2025-10-09,390.7469,390.8802,391.0135,2025-11-06
59962,POUNDS STERLING,2025-10-09,1959.2844,1959.9528,1960.6212,2025-11-06
59963,US DOLLAR,2025-10-09,1465.6526,1466.1526,1466.6526,2025-11-06
59966,YUAN/RENMINBI,2025-10-10,204.1403,204.2105,204.2807,2025-11-07
59968,EURO,2025-10-10,1682.0419,1682.6203,1683.1986,2025-11-07
59969,YEN,2025-10-10,9.5274,9.5307,9.534,2025-11-07
59970,RIYAL,2025-10-10,387.6864,387.8197,387.953,2025-11-07
59974,POUNDS STERLING,2025-10-10,1930.8509,1931.5148,1932.1787,2025-11-07
59975,US DOLLAR,2025-10-10,1454.173,1454.673,1455.173,2025-11-07
59978,YUAN/RENMINBI,2025-10-13,204.2193,204.2894,204.3595,2025-11-10
59980,EURO,2025-10-13,1685.039,1685.6174,1686.1959,2025-11-10
59981,YEN,2025-10-13,9.5634,9.5667,9.57,2025-11-10
59982,RIYAL,2025-10-13,388.3618,388.4951,388.6285,2025-11-10
59987,POUNDS STERLING,2025-10-13,1941.6764,1942.343,1943.0095,2025-11-10
59988,US DOLLAR,2025-10-13,1456.5122,1457.0122,1457.5122,2025-11-10
59991,YUAN/RENMINBI,2025-10-14,204.7689,204.8389,204.9089,2025-11-11
59993,EURO,2025-10-14,1693.2672,1693.8462,1694.4252,2025-11-11
59994,YEN,2025-10-14,9.6238,9.6271,9.6303,2025-11-11
59995,RIYAL,2025-10-14,389.8979,390.0313,390.1646,2025-11-11
59999,POUNDS STERLING,2025-10-14,1944.3328,1944.9977,1945.6625,2025-11-11
60000,US DOLLAR,2025-10-14,1462.2342,1462.7342,1463.2342,2025-11-11
60003,YUAN/RENMINBI,2025-10-15,206.5653,206.6355,206.7056,2025-11-12
60005,EURO,2025-10-15,1711.1004,1711.6815,1712.2626,2025-11-12
60006,YEN,2025-10-15,9.7059,9.7092,9.7125,2025-11-12
60007,RIYAL,2025-10-15,392.5595,392.6928,392.8261,2025-11-12
60011,POUNDS STERLING,2025-10-15,1964.7767,1965.444,1966.1112,2025-11-12
60012,US DOLLAR,2025-10-15,1472.2943,1472.7943,1473.2943,2025-11-12
60015,YUAN/RENMINBI,2025-10-16,206.2852,206.3554,206.4256,2025-11-13
60017,EURO,2025-10-16,1713.3198,1713.9026,1714.4853,2025-11-13
